Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Philippine Consulate General in Los Angeles,@PHLinLosAngeles,2025-04-12T03:46:11.000Z,False,"""Hello Kabayan, Vote Online!"" 

If you're a registered Overseas Voter, enroll na so you can vote online in the 2025 Philippine National Midterm Elections!"" #halalan2025 #NLE2025 #OverseasVoting",0,2,3,1.6K,"['#halalan2025', '#NLE2025', '#OverseasVoting']",[],[],https://pbs.twimg.com/profile_images/1694907867198005248/otby87RR_bigger.jpg,https://x.com/PHLinLosAngeles/status/1910902241202184588,tweet_id:1910902241202184588
Angela Baron,@_rainbowfighter,2025-05-05T10:13:43.000Z,False,"Let’s help KIKO  WIN!!!  for SENATOR!!! 

May 12, 2025
7AM to 7PM#Halalan2025",8,236,997,12K,['#Halalan2025'],['@kikopangilinan'],['\\U0001f49a'],https://pbs.twimg.com/profile_images/1967760063143219203/QnDHtdWP_bigger.jpg,https://x.com/_rainbowfighter/status/1919334684942639363,tweet_id:1919334684942639363
Angela Baron,@_rainbowfighter,2024-09-26T06:42:14.000Z,False,"#Halalan2025 --- Please campaign and / or vote for --- - Mayor, Naga City
@AttyLeiladeLima - 1st Nominee, @MamamayangLP  - 1st Nominee, #P3PWD  - Senator - Mayor, Caloocan City - Senator  -",170,945,4.3K,415K,"['#Halalan2025', '#P3PWD']","['@lenirobredo', '@rowena_guanzon', '@kikopangilinan', '@TrillanesSonny', '@bamaquino', '@ChelDiokno']",[],https://pbs.twimg.com/profile_images/1967760063143219203/QnDHtdWP_bigger.jpg,https://x.com/_rainbowfighter/status/1839193747877478699,tweet_id:1839193747877478699
Kaya Natin! Movement,@KayaNatinPH,2025-05-07T03:30:11.000Z,False,"FIVE DAYS TO GO PARA IPANALO SINA KIKO-BAM! Malapit na malapit na ang Araw ng Halalan, kung kaya ilabas na ang 5x na lakas at sipag upang ikampanya at ipanalo sina Senator Kiko Pangilinan at Senator Bam Aquino! #5AquinoBam #51PangilinanKiko #KikoBam2025",2,529,1.3K,48K,"['#5AquinoBam', '#51PangilinanKiko', '#KikoBam2025']",[],"['\\U0001f49a', '\\U0001fa77']",https://pbs.twimg.com/profile_images/1946808266241249280/541FRjfY_bigger.jpg,https://x.com/KayaNatinPH/status/1919957910093762935,tweet_id:1919957910093762935
Philippine Collegian,@phkule,2024-09-30T04:24:38.000Z,True,"LOOK: Elections watchdog Kontra Daya, comprising multisectoral groups across the Philippines, marched to the Commission on Elections in Intramuros, Manila to register its manifesto for clean, peaceful, and democratic elections for the 2025 midterm polls. #Halalan2025",1,10,19,1.2K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1969390397886775306/TlXxGD0J_bigger.jpg,https://x.com/phkule/status/1840608670842794190,tweet_id:1840608670842794190
Tinig ng Plaridel,@tinigngplaridel,2025-04-11T05:30:09.000Z,False,"LOOK: The Philippine Press Institute holds the “Midyang Responsable, Mapanuring Botante"" forum in Cubao, Quezon City today, April 11, focusing on the role of the press in the upcoming midterm elections.#Halalan2025",1,4,6,321,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1967931825571106819/Jes8Zkp4_bigger.jpg,https://x.com/tinigngplaridel/status/1910566015370748369,tweet_id:1910566015370748369
ABS-CBN News,@ABSCBNNews,2025-02-24T12:30:00.000Z,True,"Members of Akbayan Youth urged voters to elect candidates who will fight for Filipino sovereignty in the West Philippine Sea during the 2025 midterm elections. #Halalan2025READ: abs-cbn.com/news/nation/20
…",8,12,41,6.2K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_bigger.jpg,https://x.com/ABSCBNNews/status/1894001833158545408,tweet_id:1894001833158545408
Angela Baron,@_rainbowfighter,2025-04-09T08:31:36.000Z,False,"IBOTO ngayong #Halalan2025 — 

KIKO Pangilinan #51PangilinanKiko 

BAM Aquino #5AquinoBam 

HEIDI Mendoza #45MendozaHeidi 

Para SENADOR!!!",17,208,1.1K,24K,"['#Halalan2025', '#51PangilinanKiko', '#5AquinoBam', '#45MendozaHeidi']",[],[],https://pbs.twimg.com/profile_images/1967760063143219203/QnDHtdWP_bigger.jpg,https://x.com/_rainbowfighter/status/1909886904868418044,tweet_id:1909886904868418044
Philippine Collegian,@phkule,2025-05-05T07:17:11.000Z,True,"READ: The Office of the Student Regent has requested the suspension of classes and deadlines from May 10 to 13 to give students enough time to travel home and cast their votes.

The 2025 midterm elections are set for Monday, May 12.#Halalan2025 UP Office of the Student",0,3,14,1K,['#Halalan2025'],[],['\\U0001f4f7'],https://pbs.twimg.com/profile_images/1969390397886775306/TlXxGD0J_bigger.jpg,https://x.com/phkule/status/1919290261735145899,tweet_id:1919290261735145899
Job Manahan,@manahan_job,2025-04-11T01:23:30.000Z,False,"NOW: Philippine Press Institute holds midterm elections forum, stressing the importance of media in covering #Halalan2025.

Representatives of political parties, media groups are present in the event. ",0,0,0,88,['#Halalan2025'],['@ABSCBNNews'],[],https://pbs.twimg.com/profile_images/1831220050222821376/4_wYzkv9_bigger.jpg,https://x.com/manahan_job/status/1910503942758511101,tweet_id:1910503942758511101
Angela Baron,@_rainbowfighter,2025-05-05T10:11:09.000Z,False,"Let’s make BAM  WIN!!!  for SENATOR!!! 

May 12, 2025
7AM to 7PM#Halalan2025",6,99,425,5.7K,['#Halalan2025'],['@bamaquino'],['\\U0001f4a5'],https://pbs.twimg.com/profile_images/1967760063143219203/QnDHtdWP_bigger.jpg,https://x.com/_rainbowfighter/status/1919334041696034907,tweet_id:1919334041696034907
Angela Baron,@_rainbowfighter,2025-05-05T10:18:26.000Z,False,"Let’s help HEIDI  WIN!!!  for SENATOR!!! 

May 12, 2025
7AM to 7PM#Halalan2025",5,115,374,6.9K,['#Halalan2025'],['@HeidiMendoza45'],['\\U0001f49c'],https://pbs.twimg.com/profile_images/1967760063143219203/QnDHtdWP_bigger.jpg,https://x.com/_rainbowfighter/status/1919335872706834845,tweet_id:1919335872706834845
lex salle,@f4ggotism,2025-04-28T11:44:41.000Z,True,conclave 2025 is on may 7 and philippine elections is on may 12 we will be voting ,0,156,1.1K,18K,[],[],"['\\U0001f48b', '\\U0001f48b', '\\U0001f48b']",https://pbs.twimg.com/profile_images/1840871488582533123/Lph9MWFT_bigger.jpg,https://x.com/f4ggotism/status/1916820865934598241,tweet_id:1916820865934598241
ABS-CBN News,@ABSCBNNews,2025-04-11T01:24:40.000Z,True,"NOW: Philippine Press Institute holds midterm elections forum, stressing the importance of media in covering #Halalan2025.

Representatives of political parties, media groups are present in the event. | via ",0,3,5,4.2K,['#Halalan2025'],['@manahan_job'],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_bigger.jpg,https://x.com/ABSCBNNews/status/1910504237974642971,tweet_id:1910504237974642971
PDP Laban,@pdplabanph,2025-04-24T05:56:35.000Z,True,"Kahilingan ni PDP Laban chairman at dating Pangulong Rodrigo Duterte na iboto sa halalan ngayong Mayo ang sampung kandidatong bitbit niya at ng partido.

𝗩𝗢𝗧𝗘 𝗦𝗧𝗥𝗔𝗜𝗚𝗛𝗧 𝗦𝗔 𝗗𝘂𝘁𝗲𝗿𝗧𝗘𝗡 𝗖𝗔𝗡𝗗𝗜𝗗𝗔𝗧𝗘𝗦!
● 10 Bondoc, Jimmy
● 22 Dela Rosa, Bato
● 28 Go, Bong",112,171,504,42K,[],[],[],https://pbs.twimg.com/profile_images/1808767303020052480/Ih4XSt49_bigger.jpg,https://x.com/pdplabanph/status/1915283709697368292,tweet_id:1915283709697368292
Daily Tribune,@tribunephl,2025-03-30T07:32:28.000Z,True,"#Halalan2025: The Philippine National Police (PNP) has recorded 39 suspected election-related incidents nationwide as the country prepares for the 12 May midterm elections.

PNP spokesperson PBGen. Jean Fajardo reported that of these cases, 11 have been validated as",0,0,0,65,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1894256178848206848/BMx_QdUY_bigger.jpg,https://x.com/tribunephl/status/1906248143953645676,tweet_id:1906248143953645676
Daily Tribune,@tribunephl,2025-03-12T07:32:14.000Z,True,"#Halalan2025: The 2025 Philippine midterm elections are fast approaching, and ensuring that every eligible Filipino can cast their vote is a priority. 

Read more at: tribune.net.ph/2025/03/12/gui
…#DailyTribune #midtermelections",0,0,1,109,"['#Halalan2025', '#DailyTribune', '#midtermelections']",[],[],https://pbs.twimg.com/profile_images/1894256178848206848/BMx_QdUY_bigger.jpg,https://x.com/tribunephl/status/1899725104390484382,tweet_id:1899725104390484382
