,Tweet ID,Content,Named Candidate/Partylist
0,tweet_id:1910902241202184588,"""Hello Kabayan, Vote Online!"" 

If you're a registered Overseas Voter, enroll na so you can vote online in the 2025 Philippine National Midterm Elections!"" #halalan2025 #NLE2025 #OverseasVoting",
1,tweet_id:1919334684942639363,"Let’s help KIKO  WIN!!!  for SENATOR!!! 

May 12, 2025
7AM to 7PM#Halalan2025",PM
2,tweet_id:1839193747877478699,"#Halalan2025 --- Please campaign and / or vote for --- - Mayor, Naga City
@AttyLeiladeLima - 1st Nominee, @MamamayangLP  - 1st Nominee, #P3PWD  - Senator - Mayor, Caloocan City - Senator  -",
3,tweet_id:1919957910093762935,"FIVE DAYS TO GO PARA IPANALO SINA KIKO-BAM! Malapit na malapit na ang Araw ng Halalan, kung kaya ilabas na ang 5x na lakas at sipag upang ikampanya at ipanalo sina Senator Kiko Pangilinan at Senator Bam Aquino! #5AquinoBam #51PangilinanKiko #KikoBam2025",lakas
4,tweet_id:1840608670842794190,"LOOK: Elections watchdog Kontra Daya, comprising multisectoral groups across the Philippines, marched to the Commission on Elections in Intramuros, Manila to register its manifesto for clean, peaceful, and democratic elections for the 2025 midterm polls. #Halalan2025",
5,tweet_id:1910566015370748369,"LOOK: The Philippine Press Institute holds the “Midyang Responsable, Mapanuring Botante"" forum in Cubao, Quezon City today, April 11, focusing on the role of the press in the upcoming midterm elections.#Halalan2025",
6,tweet_id:1894001833158545408,"Members of Akbayan Youth urged voters to elect candidates who will fight for Filipino sovereignty in the West Philippine Sea during the 2025 midterm elections. #Halalan2025READ: abs-cbn.com/news/nation/20
…",
7,tweet_id:1909886904868418044,"IBOTO ngayong #Halalan2025 — 

KIKO Pangilinan #51PangilinanKiko 

BAM Aquino #5AquinoBam 

HEIDI Mendoza #45MendozaHeidi 

Para SENADOR!!!",BAM Aquino
8,tweet_id:1919290261735145899,"READ: The Office of the Student Regent has requested the suspension of classes and deadlines from May 10 to 13 to give students enough time to travel home and cast their votes.

The 2025 midterm elections are set for Monday, May 12.#Halalan2025 UP Office of the Student",
9,tweet_id:1910503942758511101,"NOW: Philippine Press Institute holds midterm elections forum, stressing the importance of media in covering #Halalan2025.

Representatives of political parties, media groups are present in the event. ",
10,tweet_id:1919334041696034907,"Let’s make BAM  WIN!!!  for SENATOR!!! 

May 12, 2025
7AM to 7PM#Halalan2025",PM
11,tweet_id:1919335872706834845,"Let’s help HEIDI  WIN!!!  for SENATOR!!! 

May 12, 2025
7AM to 7PM#Halalan2025",PM
12,tweet_id:1916820865934598241,conclave 2025 is on may 7 and philippine elections is on may 12 we will be voting ,
13,tweet_id:1910504237974642971,"NOW: Philippine Press Institute holds midterm elections forum, stressing the importance of media in covering #Halalan2025.

Representatives of political parties, media groups are present in the event. | via ",
14,tweet_id:1915283709697368292,"Kahilingan ni PDP Laban chairman at dating Pangulong Rodrigo Duterte na iboto sa halalan ngayong Mayo ang sampung kandidatong bitbit niya at ng partido.

𝗩𝗢𝗧𝗘 𝗦𝗧𝗥𝗔𝗜𝗚𝗛𝗧 𝗦𝗔 𝗗𝘂𝘁𝗲𝗿𝗧𝗘𝗡 𝗖𝗔𝗡𝗗𝗜𝗗𝗔𝗧𝗘𝗦!
● 10 Bondoc, Jimmy
● 22 Dela Rosa, Bato
● 28 Go, Bong",PDP
15,tweet_id:1906248143953645676,"#Halalan2025: The Philippine National Police (PNP) has recorded 39 suspected election-related incidents nationwide as the country prepares for the 12 May midterm elections.

PNP spokesperson PBGen. Jean Fajardo reported that of these cases, 11 have been validated as",
16,tweet_id:1899725104390484382,"#Halalan2025: The 2025 Philippine midterm elections are fast approaching, and ensuring that every eligible Filipino can cast their vote is a priority. 

Read more at: tribune.net.ph/2025/03/12/gui
…#DailyTribune #midtermelections",
17,tweet_id:1920373371155501274,"Higit 1.1 milyong pasahero ang inaasahan ng Philippine Ports Authority (PPA) sa paparating na May 12 midterm elections.

MORE:tinyurl.com/ywuaywwu#Halalan2025 #PPA #Transportation #VoteWisely #DitoSaPilipinas",
18,tweet_id:1827997041433493810,"With the slogan, #TaumbayanSaSenado, progressive coalition Makabayan announced their ten senatorial candidates coming from the marginalized sectors for the 2025 midterm elections, August 26, at the Liwasang Bonifacio.",Makabayan
19,tweet_id:1890139273422381083,"As the 2025 Philippine midterm elections approach, the political landscape continues to shift, with several senatorial candidates announcing their withdrawal from the race. #Halalan2025 #DailyTribuneRead more at: tribune.net.ph/2025/02/13/hal
…",
20,tweet_id:1844146520121352440,"As the Philippine midterm elections approach, a vibrant and diverse lineup of senatorial candidates has emerged, each vying for a seat in the upper chamber of Congress.#Halalan2025 #DailyTribuneRead more at: tribune.net.ph/2024/10/09/sen
…",
21,tweet_id:1877596483559489894,"""Tech giant Meta Platforms, Inc.’s move to do away with fact-checkers on its social media platforms could aid disinformation ahead of midterm #elections in May, analysts said."" #Philippines #Halalan2025 #Eleksyon2025",
22,tweet_id:1911555920989159715,"#Halalan2025: The Commission on Elections (Comelec) said Monday that all 93 Philippine posts abroad have successfully opened for the midterm elections.

Read more at: tribune.net.ph/2025/04/13/all
…#DailyTribune #COMELEC",
